,insolation_flux_earth,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius]
3425,15.17,503.0,51.07926307,0.2671,1.05
3426,227.82,996.0,9.94067247,0.0953,1.29
3427,495.0,1163.0,7.25696522,0.0765,1.59
3428,166.04,880.0,8.98101683,0.078,0.9
3429,9.97,453.0,207.62,0.7584,1.57
3430,31.27,611.0,84.6866,0.4172,1.57
3431,254.91,886.0,8.31378306,0.0821,0.91
3432,5.4,389.0,220.1303357,0.7211,1.26
3433,92.35,845.0,6.766589,0.067,0.79
3435,10.9,543.0,33.60134,0.1968,0.94
3436,279.79,798.0,20.74028413,0.154,2.22
3437,244.47,1008.0,10.6906004,0.0996,1.24
3439,116.27,844.0,10.57,0.0954,1.05
3441,1.1,265.0,384.843,1.046,1.11
3444,557.21,1199.0,7.51464,0.082,1.64
3445,213.73,944.0,15.413135,0.1324,1.64
3446,94.33,769.0,28.454851,0.1993,1.64
3447,68.37,1000.0,2.455239,0.03,0.55
3448,45.09,661.0,33.6727,0.1979,1.47
3449,167.41,917.0,12.58242,0.1027,1.47
3451,119.04,882.0,7.79430132,0.0769,1.05
3452,3.31,436.0,5.148921,0.0403,0.24
3453,6.71,520.0,3.036179,0.0283,0.24
3454,16.21,648.0,1.565409,0.0182,0.24
3455,4.31,305.0,8.15275,0.0439,0.21
3456,9.18,341.0,4.871229,0.0301,0.21
3457,17.66,401.0,2.984151,0.0217,0.21
3458,59.91,673.0,9.740486,0.0811,0.75
3459,81.34,727.0,7.743493,0.0696,0.75
3460,109.64,783.0,6.189392,0.06,0.75
3461,165.73,868.0,4.5458841,0.04881,0.75
3462,225.74,938.0,3.6001053,0.04178,0.75
3463,0.86,233.0,177.6693,0.495,0.71
3464,0.66,241.0,112.3053,0.409,0.6
3465,0.21,189.0,207.2482,0.64,0.55
3466,1.2,229.0,101.11141,0.242,0.56
3467,1109.22,1544.0,3.2467293,0.0446,1.35
3468,1.83,291.0,178.1396,0.563,0.87
3469,1.4,288.0,35.23319,0.166,0.52
3470,2.15,308.0,66.65062,0.288,0.68
3471,14.52,503.0,16.79713874,0.1158,0.71
3472,1.69,322.0,64.00205,0.339,0.7
3473,677.92,1729.0,8.6001536,0.0948,3.21
3474,158.28,1000.0,12.8747099,0.1143,1.38
3475,1682.66,1776.0,5.33408384,0.0679,2.26
3477,97.85,812.0,52.501129,0.301,4.06
3478,272.84,856.0,11.922,0.1045,1.09
3479,415.55,951.0,8.703,0.0847,1.09
3480,577.54,1032.0,6.803,0.0719,1.09
